effect_id,card_number,card_name,card_kind,rarity,creature_type,magic_type,magic_subtype,is_equip,trigger,condition_type,condition_values_json,action_order,effect_group,engine_action_type,reusable_function,target,value_text,stat_changes_json,structured_params_json,damage_type,duration_type,duration_amount,duration_unit,duration_text,stack_rule,tick_timing,requires_response_window,source_linked,uses_anchoring,needs_manual_review,implementation_notes,original_effect_text,engine_effect_json
036-E01,036,Full Moon,MAGIC,Common,,INFINITE,FIELD,FALSE,WHILE_FIELD_ACTIVE,TEXT,"{""type"": ""TEXT"", ""text"": ""Creature name contains \""Were\""""}",1,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,"All creatures with ""Were"" in their name",AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1,"[{""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 5}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}]","{""target"": ""All creatures with \""Were\"" in their name"", ""valueText"": ""AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1"", ""statChanges"": [{""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 5}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}], ""condition"": {""type"": ""TEXT"", ""text"": ""Creature name contains \""Were\""""}, ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_ON_FIELD,,,While field effect is active,,,FALSE,FALSE,FALSE,FALSE,Field aura for Were-named creatures.,"All creatures with ""Were"" in their name gain: AL: +5. Hit Dice Rolls: +1. Atk Dice Rolls: +1.","{""id"": ""036-E01"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""TEXT"", ""text"": ""Creature name contains \""Were\""""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifiers"", ""target"": ""All creatures with \""Were\"" in their name"", ""value"": ""AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1"", ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""All creatures with \""Were\"" in their name"", ""valueText"": ""AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1"", ""statChanges"": [{""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 5}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}], ""condition"": {""type"": ""TEXT"", ""text"": ""Creature name contains \""Were\""""}, ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Field aura for Were-named creatures."", ""needsReview"": false}"
037-E01,037,Exorcism,MAGIC,Common,,STANDARD,FIELD,FALSE,WHILE_FIELD_ACTIVE,TEXT,"{""type"": ""TEXT"", ""text"": ""Target is Demon-type or name contains \""Demon\""""}",1,Damage Multiplier Aura,APPLY_DAMAGE_MULTIPLIER_AURA,applyConditionalDamageMultiplierAura,"Demon-type creatures or creatures with ""Demon"" in name",2x Atk damage,[],"{""target"": ""Demon-type creatures or creatures with \""Demon\"" in name"", ""valueText"": ""2x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Target is Demon-type or name contains \""Demon\""""}, ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 2}",ATTACK_DAMAGE,WHILE_ON_FIELD,,,While field effect is active,,,FALSE,FALSE,FALSE,FALSE,Field aura damage multiplier.,"All creatures inflict 2x Atk damage to Demon-type creatures, or creatures with ""Demon"" in their name on the field.","{""id"": ""037-E01"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""TEXT"", ""text"": ""Target is Demon-type or name contains \""Demon\""""}, ""actionType"": ""APPLY_DAMAGE_MULTIPLIER_AURA"", ""effectGroup"": ""Damage Multiplier Aura"", ""actionText"": ""Multiply Atk damage"", ""target"": ""Demon-type creatures or creatures with \""Demon\"" in name"", ""value"": ""2x Atk damage"", ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""applyConditionalDamageMultiplierAura"", ""params"": {""target"": ""Demon-type creatures or creatures with \""Demon\"" in name"", ""valueText"": ""2x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Target is Demon-type or name contains \""Demon\""""}, ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 2}, ""notes"": ""Field aura damage multiplier."", ""needsReview"": false}"
038-E01,038,Haunted Tree,MAGIC,Rare,,LIGHTNING,NONE,FALSE,ON_OPPONENT_PLAYS_MAGIC,OPPONENT_PLAYS_MAGIC,"{""type"": ""OPPONENT_PLAYS_MAGIC"", ""text"": ""Opponent plays a magic card""}",1,Magic Negation,NEGATE_MAGIC_AND_SEND_TO_CEMETERY,negateMagicToCemetery,Opponent magic card,Negate effect and send to cemetery,[],"{""target"": ""Opponent magic card"", ""valueText"": ""Negate effect and send to cemetery"", ""statChanges"": [], ""condition"": {""type"": ""OPPONENT_PLAYS_MAGIC"", ""text"": ""Opponent plays a magic card""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,INSTANT,,,Instant,,,TRUE,FALSE,FALSE,FALSE,,Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery.,"{""id"": ""038-E01"", ""trigger"": ""ON_OPPONENT_PLAYS_MAGIC"", ""condition"": {""type"": ""OPPONENT_PLAYS_MAGIC"", ""text"": ""Opponent plays a magic card""}, ""actionType"": ""NEGATE_MAGIC_AND_SEND_TO_CEMETERY"", ""effectGroup"": ""Magic Negation"", ""actionText"": ""Negate magic card effect and send it to cemetery"", ""target"": ""Opponent magic card"", ""value"": ""Negate effect and send to cemetery"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""negateMagicToCemetery"", ""params"": {""target"": ""Opponent magic card"", ""valueText"": ""Negate effect and send to cemetery"", ""statChanges"": [], ""condition"": {""type"": ""OPPONENT_PLAYS_MAGIC"", ""text"": ""Opponent plays a magic card""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}"
039-E01,039,Irresistible Love,MAGIC,Uncommon,,STANDARD,FIELD,FALSE,WHILE_FIELD_ACTIVE,FIELD_EFFECT_ACTIVE,"{""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}",1,Damage Prevention,APPLY_PLAY_RESTRICTION,applyPlayRestriction,Opponent,Cannot inflict damage,[],"{""target"": ""Opponent"", ""valueText"": ""Cannot inflict damage"", ""statChanges"": [], ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,TEXT,,,Until escape roll succeeds,,,FALSE,TRUE,FALSE,FALSE,,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery.","{""id"": ""039-E01"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""actionType"": ""APPLY_PLAY_RESTRICTION"", ""effectGroup"": ""Damage Prevention"", ""actionText"": ""Prevent opponent from inflicting damage"", ""target"": ""Opponent"", ""value"": ""Cannot inflict damage"", ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""reusableFunction"": ""applyPlayRestriction"", ""params"": {""target"": ""Opponent"", ""valueText"": ""Cannot inflict damage"", ""statChanges"": [], ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}"
039-E02,039,Irresistible Love,MAGIC,Uncommon,,STANDARD,FIELD,FALSE,WHILE_FIELD_ACTIVE,FIELD_EFFECT_ACTIVE,"{""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}",2,Play Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,Opponent,Cannot play magic cards,[],"{""target"": ""Opponent"", ""valueText"": ""Cannot play magic cards"", ""statChanges"": [], ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,TEXT,,,Until escape roll succeeds,,,FALSE,TRUE,FALSE,FALSE,,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery.","{""id"": ""039-E02"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""actionType"": ""APPLY_PLAY_RESTRICTION"", ""effectGroup"": ""Play Restriction"", ""actionText"": ""Prevent opponent from playing magic cards"", ""target"": ""Opponent"", ""value"": ""Cannot play magic cards"", ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""reusableFunction"": ""applyPlayRestriction"", ""params"": {""target"": ""Opponent"", ""valueText"": ""Cannot play magic cards"", ""statChanges"": [], ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}"
039-E03,039,Irresistible Love,MAGIC,Uncommon,,STANDARD,FIELD,FALSE,DURING_EACH_PLAYER_TURN,ROLL_DIE_RANGE,"{""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2, 3], ""text"": ""Roll 1 die; success 1-3""}",3,Status Escape Roll,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Opponent,On 1-3 effect ends and this card goes to your cemetery,[],"{""target"": ""Opponent"", ""valueText"": ""On 1-3 effect ends and this card goes to your cemetery"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2, 3], ""text"": ""Roll 1 die; success 1-3""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""dieSize"": 6, ""successValues"": [1, 2, 3], ""onSuccess"": [""END_EFFECT"", ""SEND_THIS_CARD_TO_YOUR_CEMETERY""]}",,INSTANT,,,Instant,,,FALSE,TRUE,FALSE,FALSE,Opponent may roll during each player's turn.,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery.","{""id"": ""039-E03"", ""trigger"": ""DURING_EACH_PLAYER_TURN"", ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2, 3], ""text"": ""Roll 1 die; success 1-3""}, ""actionType"": ""APPLY_STATUS_WITH_ESCAPE_ROLL"", ""effectGroup"": ""Status Escape Roll"", ""actionText"": ""Resolve escape roll"", ""target"": ""Opponent"", ""value"": ""On 1-3 effect ends and this card goes to your cemetery"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""applyStatusWithEscapeRoll"", ""params"": {""target"": ""Opponent"", ""valueText"": ""On 1-3 effect ends and this card goes to your cemetery"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2, 3], ""text"": ""Roll 1 die; success 1-3""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""dieSize"": 6, ""successValues"": [1, 2, 3], ""onSuccess"": [""END_EFFECT"", ""SEND_THIS_CARD_TO_YOUR_CEMETERY""]}, ""notes"": ""Opponent may roll during each player's turn."", ""needsReview"": false}"
040-E01,040,The Career Buccaneer,MAGIC,Uncommon,,STANDARD,EQUIP,TRUE,ON_EQUIP,EQUIPPED_TO_CREATURE,"{""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}",1,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,Modifier +6,"[{""stat"": ""MODIFIER"", ""operation"": ""ADD"", ""value"": 6}]","{""target"": ""Equipped creature"", ""valueText"": ""Modifier +6"", ""statChanges"": [{""stat"": ""MODIFIER"", ""operation"": ""ADD"", ""value"": 6}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""1 turn cycle"", ""type"": ""TURN_CYCLES"", ""amount"": 1, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,TURN_CYCLES,1,TURN_CYCLE,1 turn cycle,,,FALSE,FALSE,TRUE,FALSE,Temporary equip modifier. Expires after 1 full turn cycle. Turn cycle is one full round back to the same player.,For 1 turn cycle add +6 to the equipped creature's Modifier.,"{""id"": ""040-E01"", ""trigger"": ""ON_EQUIP"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply temporary Modifier bonus"", ""target"": ""Equipped creature"", ""value"": ""Modifier +6"", ""duration"": {""text"": ""1 turn cycle"", ""type"": ""TURN_CYCLES"", ""amount"": 1, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Modifier +6"", ""statChanges"": [{""stat"": ""MODIFIER"", ""operation"": ""ADD"", ""value"": 6}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""1 turn cycle"", ""type"": ""TURN_CYCLES"", ""amount"": 1, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Temporary equip modifier. Expires after 1 full turn cycle. Turn cycle is one full round back to the same player."", ""needsReview"": false}"
041-E01,041,Ghost Form,MAGIC,Epic,,STANDARD,EQUIP,TRUE,ON_EQUIP,EQUIPPED_TO_CREATURE,"{""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}",1,Damage Immunity,APPLY_DAMAGE_IMMUNITY,applyDamageImmunity,Equipped creature,Cannot be damaged,[],"{""target"": ""Equipped creature"", ""valueText"": ""Cannot be damaged"", ""statChanges"": [], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""2 turn cycles"", ""type"": ""TURN_CYCLES"", ""amount"": 2, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,TURN_CYCLES,2,TURN_CYCLE,2 turn cycles,,,FALSE,FALSE,TRUE,FALSE,Does not say this prevents non-damage effects. Turn cycle is one full round back to the same player.,The equipped creature cannot be damaged for 2 turn cycles.,"{""id"": ""041-E01"", ""trigger"": ""ON_EQUIP"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_DAMAGE_IMMUNITY"", ""effectGroup"": ""Damage Immunity"", ""actionText"": ""Prevent all damage to equipped creature"", ""target"": ""Equipped creature"", ""value"": ""Cannot be damaged"", ""duration"": {""text"": ""2 turn cycles"", ""type"": ""TURN_CYCLES"", ""amount"": 2, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""reusableFunction"": ""applyDamageImmunity"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Cannot be damaged"", ""statChanges"": [], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""2 turn cycles"", ""type"": ""TURN_CYCLES"", ""amount"": 2, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Does not say this prevents non-damage effects. Turn cycle is one full round back to the same player."", ""needsReview"": false}"
042-E01,042,Corn Creeper,CREATURE,Uncommon,Undead,,,FALSE,DURING_DAMAGE_CALC,TEXT,"{""type"": ""TEXT"", ""text"": ""This card's first attack while on field""}",1,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,Attack target,5x Atk damage,[],"{""target"": ""Attack target"", ""valueText"": ""5x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card's first attack while on field""}, ""duration"": {""text"": ""Current attack"", ""type"": ""CURRENT_ATTACK""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 5, ""usesPerFieldInstance"": 1}",ATTACK_DAMAGE,CURRENT_ATTACK,,,Current attack,,,FALSE,FALSE,FALSE,FALSE,Once per field instance. Track hasUsedFirstAttackMultiplier on this card.,Inflict 5x Atk damage during this card's first attack. This effect can only occur 1 time while this card is on the field.,"{""id"": ""042-E01"", ""trigger"": ""DURING_DAMAGE_CALC"", ""condition"": {""type"": ""TEXT"", ""text"": ""This card's first attack while on field""}, ""actionType"": ""APPLY_ATTACK_DAMAGE_MULTIPLIER"", ""effectGroup"": ""Damage Multiplier"", ""actionText"": ""Multiply Atk damage"", ""target"": ""Attack target"", ""value"": ""5x Atk damage"", ""duration"": {""text"": ""Current attack"", ""type"": ""CURRENT_ATTACK""}, ""reusableFunction"": ""applyConditionalDamageMultiplier"", ""params"": {""target"": ""Attack target"", ""valueText"": ""5x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card's first attack while on field""}, ""duration"": {""text"": ""Current attack"", ""type"": ""CURRENT_ATTACK""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 5, ""usesPerFieldInstance"": 1}, ""notes"": ""Once per field instance. Track hasUsedFirstAttackMultiplier on this card."", ""needsReview"": false}"
044-E01,044,Summoner,CREATURE,Epic,Humanoid,,,FALSE,DURING_YOUR_TURN_ACTIVATED,ROLL_DICE,"{""type"": ""ROLL_DICE"", ""dice"": 2, ""dieSize"": 6, ""text"": ""Roll 2 dice; summoned creature AL <= total""}",1,Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,Creature from your hand,Limited Summon creature with AL <= 2D6 result,[],"{""target"": ""Creature from your hand"", ""valueText"": ""Limited Summon creature with AL <= 2D6 result"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DICE"", ""dice"": 2, ""dieSize"": 6, ""text"": ""Roll 2 dice; summoned creature AL <= total""}, ""duration"": {""text"": ""Until end of your turn"", ""type"": ""UNTIL_END_OF_YOUR_TURN""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""fromZone"": ""HAND"", ""maxCount"": 1, ""rollDice"": 2, ""compare"": ""AL_LE_ROLL_TOTAL""}",,UNTIL_END_OF_YOUR_TURN,,,Until end of your turn,,,FALSE,TRUE,FALSE,FALSE,Return the summoned creature to hand at end of turn.,"During your turn, roll 2 dice. You may summon a creature from your hand with an AL less than or equal to the result of the dice roll as a Limited Summon. Send the summoned creature back to your hand at the end of your turn.","{""id"": ""044-E01"", ""trigger"": ""DURING_YOUR_TURN_ACTIVATED"", ""condition"": {""type"": ""ROLL_DICE"", ""dice"": 2, ""dieSize"": 6, ""text"": ""Roll 2 dice; summoned creature AL <= total""}, ""actionType"": ""SUMMON_LIMITED_CREATURE_FROM_HAND"", ""effectGroup"": ""Limited Summon"", ""actionText"": ""Summon from hand as Limited Summon"", ""target"": ""Creature from your hand"", ""value"": ""Limited Summon creature with AL <= 2D6 result"", ""duration"": {""text"": ""Until end of your turn"", ""type"": ""UNTIL_END_OF_YOUR_TURN""}, ""reusableFunction"": ""summonLimitedFromHand"", ""params"": {""target"": ""Creature from your hand"", ""valueText"": ""Limited Summon creature with AL <= 2D6 result"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DICE"", ""dice"": 2, ""dieSize"": 6, ""text"": ""Roll 2 dice; summoned creature AL <= total""}, ""duration"": {""text"": ""Until end of your turn"", ""type"": ""UNTIL_END_OF_YOUR_TURN""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""fromZone"": ""HAND"", ""maxCount"": 1, ""rollDice"": 2, ""compare"": ""AL_LE_ROLL_TOTAL""}, ""notes"": ""Return the summoned creature to hand at end of turn."", ""needsReview"": false}"
044-E02,044,Summoner,CREATURE,Epic,Humanoid,,,FALSE,AT_END_OF_YOUR_TURN,ON_SUMMON_CONDITION,"{""type"": ""ON_SUMMON_CONDITION"", ""text"": ""Creature was summoned by Summoner""}",2,Zone Movement,SCHEDULE_RETURN_TO_HAND,scheduleReturnToHand,Summoned creature,Return to your hand,[],"{""target"": ""Summoned creature"", ""valueText"": ""Return to your hand"", ""statChanges"": [], ""condition"": {""type"": ""ON_SUMMON_CONDITION"", ""text"": ""Creature was summoned by Summoner""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,INSTANT,,,Instant,,,FALSE,TRUE,FALSE,FALSE,,"During your turn, roll 2 dice. You may summon a creature from your hand with an AL less than or equal to the result of the dice roll as a Limited Summon. Send the summoned creature back to your hand at the end of your turn.","{""id"": ""044-E02"", ""trigger"": ""AT_END_OF_YOUR_TURN"", ""condition"": {""type"": ""ON_SUMMON_CONDITION"", ""text"": ""Creature was summoned by Summoner""}, ""actionType"": ""SCHEDULE_RETURN_TO_HAND"", ""effectGroup"": ""Zone Movement"", ""actionText"": ""Return linked Limited Summon to hand"", ""target"": ""Summoned creature"", ""value"": ""Return to your hand"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""scheduleReturnToHand"", ""params"": {""target"": ""Summoned creature"", ""valueText"": ""Return to your hand"", ""statChanges"": [], ""condition"": {""type"": ""ON_SUMMON_CONDITION"", ""text"": ""Creature was summoned by Summoner""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}"
