card_number,card_name,effect_id,action_order,trigger,condition,effect_group,action_type,reusable_function,target,value,duration,needs_review,notes,original_effect_text
021,Perfect Shark,021-E02,2,ON_SUMMON,Summon requirement paid,Attachment/Linked Cards,ATTACH_CARDS_UNDER_SOURCE,attachCardsUnderSource,Sharkling and Great White,Attach under this card,While source remains linked,FALSE,"Attached cards follow this card if removed, changed control, or killed.","Can only be summoned by placing ""Sharkling"" and ""Great White"" on the field under this card. If this card leaves the field, changes control, or is killed, ""Sharkling"" and ""Great White"" follow it."
021,Perfect Shark,021-E03,3,ON_SOURCE_INVALIDATED,"This card leaves field, changes control, or is killed",Zone Movement,RETURN_LINKED_CARDS,returnLinkedCards,Attached Sharkling and Great White,Follow this card,Instant,FALSE,Exact destination follows the source movement event.,"Can only be summoned by placing ""Sharkling"" and ""Great White"" on the field under this card. If this card leaves the field, changes control, or is killed, ""Sharkling"" and ""Great White"" follow it."
022,Elven Scout,022-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 6,While equipped,FALSE,Basic stat/dice modifier.,Atk: +6.
023,Common Armor,023-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,AL ADD 3,While equipped,FALSE,Basic stat/dice modifier.,AL: +3.
024,Common Sword,024-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 4,While equipped,FALSE,Basic stat/dice modifier.,Atk: +4.
025,Common Boots,025-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,SPD ADD 3,While equipped,FALSE,Basic stat/dice modifier.,SPD: +3.
026,Common Gloves,026-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,HIT_BONUS ADD 3,While equipped,FALSE,Basic stat/dice modifier.,Hit: +3.
027,Common Helm,027-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 2; AL ADD 2,While equipped,FALSE,Basic stat/dice modifier.,Atk: +2. AL: +2.
028,Legendary Armor,028-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 6; AL ADD 6; HIT_DICE_ROLLS ADD 1,While equipped,FALSE,Basic stat/dice modifier.,Atk: +6. AL: +6. Hit Dice Rolls: +1.
029,Legendary Gloves,029-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,HIT_BONUS ADD 6; ATK_BONUS ADD 6; SPD ADD 6,While equipped,FALSE,Basic stat/dice modifier.,Hit: +6. Atk: +6. SPD: +6.
030,Legendary Helm,030-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,AL ADD 6; SPD ADD 6; ATK_DICE_ROLLS ADD 1,While equipped,FALSE,Basic stat/dice modifier.,AL: +6. SPD: +6. Atk Dice Rolls: +1.
035,Spino,035-E01,1,DURING_DAMAGE_CALC,Attack target is in or near water,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,Creature in or near water,2x Atk damage,Current battle,FALSE,Requires board/location tag for in or near water.,This creature inflicts 2x Atk damage to any creature in or near water.
036,Full Moon,036-E01,1,WHILE_FIELD_ACTIVE,"Creature name contains ""Were""",Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,"All creatures with ""Were"" in their name",AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1,While field effect is active,FALSE,Field aura for Were-named creatures.,"All creatures with ""Were"" in their name gain: AL: +5. Hit Dice Rolls: +1. Atk Dice Rolls: +1."
037,Exorcism,037-E01,1,WHILE_FIELD_ACTIVE,"Target is Demon-type or name contains ""Demon""",Damage Multiplier Aura,APPLY_DAMAGE_MULTIPLIER_AURA,applyConditionalDamageMultiplierAura,"Demon-type creatures or creatures with ""Demon"" in name",2x Atk damage,While field effect is active,FALSE,Field aura damage multiplier.,"All creatures inflict 2x Atk damage to Demon-type creatures, or creatures with ""Demon"" in their name on the field."
038,Haunted Tree,038-E01,1,ON_OPPONENT_PLAYS_MAGIC,Opponent plays a magic card,Magic Negation,NEGATE_MAGIC_AND_SEND_TO_CEMETERY,negateMagicToCemetery,Opponent magic card,Negate effect and send to cemetery,Instant,FALSE,,Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery.
039,Irresistible Love,039-E01,1,WHILE_FIELD_ACTIVE,Irresistible Love is active,Damage Prevention,APPLY_PLAY_RESTRICTION,applyPlayRestriction,Opponent,Cannot inflict damage,Until escape roll succeeds,FALSE,,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery."
039,Irresistible Love,039-E02,2,WHILE_FIELD_ACTIVE,Irresistible Love is active,Play Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,Opponent,Cannot play magic cards,Until escape roll succeeds,FALSE,,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery."
039,Irresistible Love,039-E03,3,DURING_EACH_PLAYER_TURN,Roll 1 die; success 1-3,Status Escape Roll,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Opponent,On 1-3 effect ends and this card goes to your cemetery,Instant,FALSE,Opponent may roll during each player's turn.,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery."
040,The Career Buccaneer,040-E01,1,ON_EQUIP,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,Modifier +6,1 turn cycle,FALSE,Temporary equip modifier. Expires after 1 full turn cycle. Turn cycle is one full round back to the same player.,For 1 turn cycle add +6 to the equipped creature's Modifier.
041,Ghost Form,041-E01,1,ON_EQUIP,Equipped to creature,Damage Immunity,APPLY_DAMAGE_IMMUNITY,applyDamageImmunity,Equipped creature,Cannot be damaged,2 turn cycles,FALSE,Does not say this prevents non-damage effects. Turn cycle is one full round back to the same player.,The equipped creature cannot be damaged for 2 turn cycles.
042,Corn Creeper,042-E01,1,DURING_DAMAGE_CALC,This card's first attack while on field,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,Attack target,5x Atk damage,Current attack,FALSE,Once per field instance. Track hasUsedFirstAttackMultiplier on this card.,Inflict 5x Atk damage during this card's first attack. This effect can only occur 1 time while this card is on the field.
044,Summoner,044-E01,1,DURING_YOUR_TURN_ACTIVATED,Roll 2 dice; summoned creature AL <= total,Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,Creature from your hand,Limited Summon creature with AL <= 2D6 result,Until end of your turn,FALSE,Return the summoned creature to hand at end of turn.,"During your turn, roll 2 dice. You may summon a creature from your hand with an AL less than or equal to the result of the dice roll as a Limited Summon. Send the summoned creature back to your hand at the end of your turn."
044,Summoner,044-E02,2,AT_END_OF_YOUR_TURN,Creature was summoned by Summoner,Zone Movement,SCHEDULE_RETURN_TO_HAND,scheduleReturnToHand,Summoned creature,Return to your hand,Instant,FALSE,,"During your turn, roll 2 dice. You may summon a creature from your hand with an AL less than or equal to the result of the dice roll as a Limited Summon. Send the summoned creature back to your hand at the end of your turn."
045,Demon Dragon,045-E01,1,WHILE_ON_FIELD,Opponent hand size changes,Scaling Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This creature,For every card in opponents' hand: Atk Dice Rolls +1; Modifier +1,While on field,FALSE,Use total cards in all opponents' hands for multiplayer; in 1v1 this is opponent hand size.,For every card in your opponents' hand add: Atk Dice Rolls: +1. Modifier: +1.
046,Alkonost,046-E01,1,DURING_YOUR_TURN_ACTIVATED,"Matching ""Harpy"" or ""Alkonost"" exists in your deck or hand",Limited Summon,SUMMON_LIMITED_CREATURE,summonLimitedFromZone,Harpy or Alkonost from deck or hand,Limited Summon matching creature(s),While source effect remains active,FALSE,Source-linked; returned to hand if Alkonost leaves field or effect is negated.,"During your turn, you may summon a 'Harpy' or 'Alkonost' from your deck or hand as a Limited Summon. For each, add +1 Atk Dice and +1 Modifier to this card. Return Limited Summons to your hand if this creature leaves the field or this effect is negated."
046,Alkonost,046-E02,2,WHILE_LIMITED_SUMMON_LINKED,Limited Summon created by this effect exists,Scaling Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This card,For each linked Limited Summon: Atk Dice Rolls +1; Modifier +1,While source effect remains active,FALSE,,"During your turn, you may summon a 'Harpy' or 'Alkonost' from your deck or hand as a Limited Summon. For each, add +1 Atk Dice and +1 Modifier to this card. Return Limited Summons to your hand if this creature leaves the field or this effect is negated."
046,Alkonost,046-E03,3,ON_SOURCE_INVALIDATED,This creature leaves field or this effect is negated,Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,Linked Limited Summon(s),Return to your hand,Instant,FALSE,,"During your turn, you may summon a 'Harpy' or 'Alkonost' from your deck or hand as a Limited Summon. For each, add +1 Atk Dice and +1 Modifier to this card. Return Limited Summons to your hand if this creature leaves the field or this effect is negated."
050,Ignitus,050-E01,1,ON_PLAY,Roll 1 die,Direct Damage,ROLL_DAMAGE_TABLE,rollDamageTable,Target creature,Roll damage table,Instant,FALSE,Damage table uses a D6 result.,Roll 1 die to inflict damage on a creature. If the result is: 1-5: 15 damage. 6: 30 damage.
051,Evil Queen,051-E01,1,ON_PLAY,Magic card exists on the field,Destroy,DESTROY_MAGIC_CARDS,destroyMagicCards,1 magic card on the field,Destroy 1,Instant,FALSE,,Destroy 1 magic card on the field.
052,Magic Eater,052-E01,1,ON_PLAY,Opponent controls magic cards,Destroy,DESTROY_MAGIC_CARDS,destroyMagicCards,All magic cards on opponent's side of the field,Destroy all,Instant,FALSE,,Destroy all magic cards on opponents side of the field.
053,Melody of the Deep,053-E01,1,ON_OPPONENT_PLAYS_MAGIC_OR_ATTACK_HITS,Opponent plays a magic card or lands a hit,Negation,NEGATE_ATTACK_OR_MAGIC,negateAttackOrMagic,Opponent magic card or attack,Negate selected legal event,Instant,FALSE,,"Play this card from your hand when your opponent plays a magic card or lands a hit. Negate the magic card effect and send it to the cemetery, or negate the attack."
054,Hell Hath No Fury,054-E01,1,ON_PLAY,This card is played when played,Negation Rule,SET_CAN_BE_NEGATED,setCanBeNegated,This card,Cannot be negated,While resolving,FALSE,Set response flags so this card cannot be negated during its response window.,Play this card from your hand when your opponent plays a Lightning card. Take away 1/2 of the remaining HP of their primary creature. This card cannot be negated.
054,Hell Hath No Fury,054-E02,2,ON_OPPONENT_PLAYS_LIGHTNING,Opponent plays a Lightning card,HP Reduction,DEAL_PERCENTAGE_DAMAGE,dealPercentageDamage,Opponent primary creature,Remove 1/2 remaining HP,Instant,FALSE,Half values always round up per global rules.,Play this card from your hand when your opponent plays a Lightning card. Take away 1/2 of the remaining HP of their primary creature. This card cannot be negated.
055,The Iron Range,055-E01,1,ON_PLAY,Creature effects exist on the field,Effect Negation,NEGATE_CREATURE_EFFECTS,negateCreatureEffects,All creatures currently on the field,Negate all creature effects,Instant,TRUE,Duration is not specified on card; modeled as an instant negation of currently active creature effects.,Negate all creature effects on the field.
056,Knight Helm,056-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,HIT_BONUS ADD 2; AL ADD 2,While equipped,FALSE,Basic stat/dice modifier.,Hit: +2. AL: +2.
057,Battle Axe,057-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 2; HIT_BONUS ADD 2,While equipped,FALSE,Card is marked Single Use and Equip. Modeled as while-equipped because it has EQUIP text; review if single-use equip should self-discard.,Atk: +2. Hit: +2.
058,Zombie Dog,058-E01,1,ON_HIT_FIRST,This creature hits first during battle,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,Attack target,3x Atk damage,Current battle,FALSE,Shared with Gen1 Rogue/Hafling/Zombie Dog pattern.,"If this creature hits first during battle, inflict 3x Atk damage."
060,Vampire Orc,060-E01,1,WHILE_ON_FIELD,Opponent has current primary creature,Dynamic Stat Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,This card,Add opponent current primary creature's base Modifier,While on field,FALSE,Recalculate if opponent primary creature changes.,Add your opponent's current primary creature's base Modifier to this card.
061,Abominable Deer Man,061-E01,1,ON_OPPONENT_PLAYS_LIGHTNING,Opponent uses a Lightning card,Limited Summon,SUMMON_SELF_AS_LIMITED_CREATURE,summonSelfAsLimited,This card,Play from hand to your side as a Limited Summon,While on field,TRUE,"Card is typed as Magic but effect turns it into a Limited Summon. Stats are not present in CSV, so implementation needs a token/creature definition if it can battle.","If your opponent uses a Lightning card, play this card from your hand to your side of the field as a Limited Summon. This card is sent to the cemetery if you have no primary creature on the field."
061,Abominable Deer Man,061-E02,2,WHILE_ON_FIELD,You have no primary creature on the field,Self Cleanup,APPLY_SOURCE_LINKED_CLEANUP,applySourceLinkedCleanup,This card,Send to cemetery if you have no primary creature,While on field,FALSE,,"If your opponent uses a Lightning card, play this card from your hand to your side of the field as a Limited Summon. This card is sent to the cemetery if you have no primary creature on the field."
062,Martial Arts Man,062-E01,1,ON_HIT_FROM_HAND,Your creature hits during battle,Direct Damage,DEAL_INSTANT_DAMAGE,dealDirectDamage,Creature you are battling,20 damage,Instant,FALSE,,"On hit, play this card from your hand. Inflict 20 damage to the creature you are battling."
063,Steam Spider,063-E01,1,STATIC_RULE,This creature would leave the field without being killed,Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,This creature,Cannot be removed from field unless killed,While on field,FALSE,,This creature cannot be removed from the field unless killed. It cannot be used as a sacrifice from the field. It cannot change control.
063,Steam Spider,063-E02,2,STATIC_RULE,This creature would be sacrificed from field,Sacrifice Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,This creature,Cannot be used as a sacrifice from the field,While on field,FALSE,,This creature cannot be removed from the field unless killed. It cannot be used as a sacrifice from the field. It cannot change control.
063,Steam Spider,063-E03,3,STATIC_RULE,An effect would change this creature's control,Control Restriction,APPLY_PLAY_RESTRICTION,applyPlayRestriction,This creature,Cannot change control,While on field,FALSE,,This creature cannot be removed from the field unless killed. It cannot be used as a sacrifice from the field. It cannot change control.
064,Steam Rex,064-E01,1,WHILE_ON_FIELD,Creature or magic effect would affect this creature,Immunity,APPLY_EFFECT_IMMUNITY,applyEffectImmunity,This creature,Unaffected by creature effects and magic cards,While on field,FALSE,,"This creature is unaffected by creature effects and magic cards. If your opponent plays a Lightning card, this creature inflicts 2x Atk damage the turn it was used."
064,Steam Rex,064-E02,2,ON_OPPONENT_PLAYS_LIGHTNING,Opponent played a Lightning card this turn,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,This creature attack,2x Atk damage,Current turn,FALSE,Applies for the turn the opponent used the Lightning card.,"This creature is unaffected by creature effects and magic cards. If your opponent plays a Lightning card, this creature inflicts 2x Atk damage the turn it was used."
065,Steam Golem,065-E01,1,WHILE_ON_FIELD,Creature or magic effect would affect this creature,Immunity,APPLY_EFFECT_IMMUNITY,applyEffectImmunity,This creature,Unaffected by creature effects and magic cards,While on field,FALSE,,This creature is unaffected by creature effects and magic cards. This creature inflicts 3x Atk damage to any creature with an AL of 12. This includes equip cards.
065,Steam Golem,065-E02,2,DURING_DAMAGE_CALC,Target creature has AL 12 including equip cards,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,Creature with AL 12,3x Atk damage,Current battle,FALSE,AL check includes equip card modifications.,This creature is unaffected by creature effects and magic cards. This creature inflicts 3x Atk damage to any creature with an AL of 12. This includes equip cards.
066,Dawn of the Living Chickens,066-E01,1,ON_PLAY,You have creatures in hand,Limited Summon,SUMMON_LIMITED_CREATURE_FROM_HAND,summonLimitedFromHand,Up to 4 creatures from your hand,Limited Summon up to 4 creatures,1 turn cycle,FALSE,Turn cycle is one full round back to the same player.,Summon up to 4 creatures from your hand as Limited Summons. Return them back to your hand after 1 turn cycle.
066,Dawn of the Living Chickens,066-E02,2,DELAYED_TRIGGER,Dawn of the Living Chickens duration expires,Zone Movement,SCHEDULE_RETURN_TO_HAND,scheduleReturnToHand,Creatures summoned by this card,Return to your hand after 1 turn cycle,After 1 turn cycle,FALSE,Turn cycle is one full round back to the same player.,Summon up to 4 creatures from your hand as Limited Summons. Return them back to your hand after 1 turn cycle.
