Generation,Edition,Card Number,Card Name,Card Type,Rarity,Creature Type,Magic Type,Is Equip,Armor Level,Speed,Health Points,Attack Name,Attack Dice,Modifier,Extended Effect Description,Flavor Text,Image File Name,Notes,Magic Type Normalized,Magic Subtype,Effect Count,Effect Types,Needs Manual Review,Card Definition JSON
2,2nd Edition,031,Bug Man,Creature,Uncommon,Bug,,FALSE,7,6,70,Super Bug Jab,3,+3,,This creature was created by the Westward Trading Company in Buck City. It was created to sell to the highest bidder as a weapon.,,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""031"", ""cardName"": ""Bug Man"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Uncommon"", ""creatureType"": ""Bug"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 7, ""SPD"": 6, ""HP"": 70, ""attackName"": ""Super Bug Jab"", ""attackDice"": 3, ""modifier"": 3, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,032,Baby Dino,Creature,Common,Dino,,FALSE,4,6,40,Stomp,1,+3,,These young dinosaurs are still very aggressive and often hunt down dragonlings to eat.,,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""032"", ""cardName"": ""Baby Dino"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Common"", ""creatureType"": ""Dino"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 4, ""SPD"": 6, ""HP"": 40, ""attackName"": ""Stomp"", ""attackDice"": 1, ""modifier"": 3, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,033,Trike,Creature,Common,Dino,,FALSE,6,4,50,Impale Charge,3,+1,,A peaceful herbivore of the Ward primal era. The Trike will charge and impale unsuspecting adventurers with its mighty horns.,,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""033"", ""cardName"": ""Trike"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Common"", ""creatureType"": ""Dino"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 6, ""SPD"": 4, ""HP"": 50, ""attackName"": ""Impale Charge"", ""attackDice"": 3, ""modifier"": 1, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,034,Bronto,Creature,Epic,Dino,,FALSE,11,1,110,Thunder Stomp,2,+7,,"When the Bronto walks, the earth shakes with the sounds of thunder across the plains. They use their whip-like tail to fend off predators.",,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""034"", ""cardName"": ""Bronto"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Epic"", ""creatureType"": ""Dino"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 11, ""SPD"": 1, ""HP"": 110, ""attackName"": ""Thunder Stomp"", ""attackDice"": 2, ""modifier"": 7, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,035,Spino,Creature,Rare,Dino,,FALSE,8,10,80,Razor Claw,2,+5,This creature inflicts 2x Atk damage to any creature in or near water.,The Spino spends a large amount of its time in lakes and rivers fishing for food. They will occasionally fight with the T-Rex and other large creatures over territory.,,,,,1,APPLY_ATTACK_DAMAGE_MULTIPLIER,FALSE,"{""cardNumber"": ""035"", ""cardName"": ""Spino"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Rare"", ""creatureType"": ""Dino"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 8, ""SPD"": 10, ""HP"": 80, ""attackName"": ""Razor Claw"", ""attackDice"": 2, ""modifier"": 5, ""baseHitDice"": 2}, ""rawEffectText"": ""This creature inflicts 2x Atk damage to any creature in or near water."", ""effects"": [{""id"": ""035-E01"", ""trigger"": ""DURING_DAMAGE_CALC"", ""condition"": {""type"": ""TEXT"", ""text"": ""Attack target is in or near water""}, ""actionType"": ""APPLY_ATTACK_DAMAGE_MULTIPLIER"", ""effectGroup"": ""Damage Multiplier"", ""actionText"": ""Multiply Atk damage"", ""target"": ""Creature in or near water"", ""value"": ""2x Atk damage"", ""duration"": {""text"": ""Current battle"", ""type"": ""CURRENT_BATTLE""}, ""reusableFunction"": ""applyConditionalDamageMultiplier"", ""params"": {""target"": ""Creature in or near water"", ""valueText"": ""2x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Attack target is in or near water""}, ""duration"": {""text"": ""Current battle"", ""type"": ""CURRENT_BATTLE""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 2}, ""notes"": ""Requires board/location tag for in or near water."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,036,Full Moon,Magic,Common,,Infinite,FALSE,,,,Full Moon,,,"All creatures with ""Were"" in their name gain: AL: +5. Hit Dice Rolls: +1. Atk Dice Rolls: +1.",FUR IN STRANGE PLACES,,Field card.,INFINITE,FIELD,1,APPLY_STAT_MODIFIER,FALSE,"{""cardNumber"": ""036"", ""cardName"": ""Full Moon"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Common"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""FIELD"", ""isEquip"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Full Moon"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""All creatures with \""Were\"" in their name gain: AL: +5. Hit Dice Rolls: +1. Atk Dice Rolls: +1."", ""effects"": [{""id"": ""036-E01"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""TEXT"", ""text"": ""Creature name contains \""Were\""""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifiers"", ""target"": ""All creatures with \""Were\"" in their name"", ""value"": ""AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1"", ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""All creatures with \""Were\"" in their name"", ""valueText"": ""AL ADD 5; HIT_DICE_ROLLS ADD 1; ATK_DICE_ROLLS ADD 1"", ""statChanges"": [{""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 5}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 1}], ""condition"": {""type"": ""TEXT"", ""text"": ""Creature name contains \""Were\""""}, ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Field aura for Were-named creatures."", ""needsReview"": false}], ""notes"": ""Field card.""}"
2,2nd Edition,037,Exorcism,Magic,Common,,Single Use,FALSE,,,,Exorcism,,,"All creatures inflict 2x Atk damage to Demon-type creatures, or creatures with ""Demon"" in their name on the field.",NOT PAID ENOUGH FOR THIS,,Field card.,STANDARD,FIELD,1,APPLY_DAMAGE_MULTIPLIER_AURA,FALSE,"{""cardNumber"": ""037"", ""cardName"": ""Exorcism"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Common"", ""creatureType"": null, ""magicType"": ""STANDARD"", ""magicSubtype"": ""FIELD"", ""isEquip"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Exorcism"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""All creatures inflict 2x Atk damage to Demon-type creatures, or creatures with \""Demon\"" in their name on the field."", ""effects"": [{""id"": ""037-E01"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""TEXT"", ""text"": ""Target is Demon-type or name contains \""Demon\""""}, ""actionType"": ""APPLY_DAMAGE_MULTIPLIER_AURA"", ""effectGroup"": ""Damage Multiplier Aura"", ""actionText"": ""Multiply Atk damage"", ""target"": ""Demon-type creatures or creatures with \""Demon\"" in name"", ""value"": ""2x Atk damage"", ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""applyConditionalDamageMultiplierAura"", ""params"": {""target"": ""Demon-type creatures or creatures with \""Demon\"" in name"", ""valueText"": ""2x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Target is Demon-type or name contains \""Demon\""""}, ""duration"": {""text"": ""While field effect is active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 2}, ""notes"": ""Field aura damage multiplier."", ""needsReview"": false}], ""notes"": ""Field card.""}"
2,2nd Edition,038,Haunted Tree,Magic,Rare,,Lightning,FALSE,,,,Haunted Tree,,,Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery.,VERY LONG WINDED,,,LIGHTNING,NONE,1,NEGATE_MAGIC_AND_SEND_TO_CEMETERY,FALSE,"{""cardNumber"": ""038"", ""cardName"": ""Haunted Tree"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Rare"", ""creatureType"": null, ""magicType"": ""LIGHTNING"", ""magicSubtype"": ""NONE"", ""isEquip"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Haunted Tree"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery."", ""effects"": [{""id"": ""038-E01"", ""trigger"": ""ON_OPPONENT_PLAYS_MAGIC"", ""condition"": {""type"": ""OPPONENT_PLAYS_MAGIC"", ""text"": ""Opponent plays a magic card""}, ""actionType"": ""NEGATE_MAGIC_AND_SEND_TO_CEMETERY"", ""effectGroup"": ""Magic Negation"", ""actionText"": ""Negate magic card effect and send it to cemetery"", ""target"": ""Opponent magic card"", ""value"": ""Negate effect and send to cemetery"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""negateMagicToCemetery"", ""params"": {""target"": ""Opponent magic card"", ""valueText"": ""Negate effect and send to cemetery"", ""statChanges"": [], ""condition"": {""type"": ""OPPONENT_PLAYS_MAGIC"", ""text"": ""Opponent plays a magic card""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,039,Irresistible Love,Magic,Uncommon,,Single Use,FALSE,,,,Irresistible Love,,,"Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery.",HOPE YOU TIP WELL,,Field card.,STANDARD,FIELD,3,APPLY_PLAY_RESTRICTION; APPLY_STATUS_WITH_ESCAPE_ROLL,FALSE,"{""cardNumber"": ""039"", ""cardName"": ""Irresistible Love"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Uncommon"", ""creatureType"": null, ""magicType"": ""STANDARD"", ""magicSubtype"": ""FIELD"", ""isEquip"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Irresistible Love"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Your opponent cannot inflict damage or play magic cards. During each player's turn, your opponent may roll 1 die. If the result is 1-3, this effect ends and this card is sent to your cemetery."", ""effects"": [{""id"": ""039-E01"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""actionType"": ""APPLY_PLAY_RESTRICTION"", ""effectGroup"": ""Damage Prevention"", ""actionText"": ""Prevent opponent from inflicting damage"", ""target"": ""Opponent"", ""value"": ""Cannot inflict damage"", ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""reusableFunction"": ""applyPlayRestriction"", ""params"": {""target"": ""Opponent"", ""valueText"": ""Cannot inflict damage"", ""statChanges"": [], ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}, {""id"": ""039-E02"", ""trigger"": ""WHILE_FIELD_ACTIVE"", ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""actionType"": ""APPLY_PLAY_RESTRICTION"", ""effectGroup"": ""Play Restriction"", ""actionText"": ""Prevent opponent from playing magic cards"", ""target"": ""Opponent"", ""value"": ""Cannot play magic cards"", ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""reusableFunction"": ""applyPlayRestriction"", ""params"": {""target"": ""Opponent"", ""valueText"": ""Cannot play magic cards"", ""statChanges"": [], ""condition"": {""type"": ""FIELD_EFFECT_ACTIVE"", ""text"": ""Irresistible Love is active""}, ""duration"": {""text"": ""Until escape roll succeeds"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}, {""id"": ""039-E03"", ""trigger"": ""DURING_EACH_PLAYER_TURN"", ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2, 3], ""text"": ""Roll 1 die; success 1-3""}, ""actionType"": ""APPLY_STATUS_WITH_ESCAPE_ROLL"", ""effectGroup"": ""Status Escape Roll"", ""actionText"": ""Resolve escape roll"", ""target"": ""Opponent"", ""value"": ""On 1-3 effect ends and this card goes to your cemetery"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""applyStatusWithEscapeRoll"", ""params"": {""target"": ""Opponent"", ""valueText"": ""On 1-3 effect ends and this card goes to your cemetery"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2, 3], ""text"": ""Roll 1 die; success 1-3""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""dieSize"": 6, ""successValues"": [1, 2, 3], ""onSuccess"": [""END_EFFECT"", ""SEND_THIS_CARD_TO_YOUR_CEMETERY""]}, ""notes"": ""Opponent may roll during each player's turn."", ""needsReview"": false}], ""notes"": ""Field card.""}"
2,2nd Edition,040,The Career Buccaneer,Magic,Uncommon,,Single Use,TRUE,,,,The Career Buccaneer,,,For 1 turn cycle add +6 to the equipped creature's Modifier.,YAAAARRRRG!!!,,,STANDARD,EQUIP,1,APPLY_STAT_MODIFIER,FALSE,"{""cardNumber"": ""040"", ""cardName"": ""The Career Buccaneer"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Uncommon"", ""creatureType"": null, ""magicType"": ""STANDARD"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""The Career Buccaneer"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""For 1 turn cycle add +6 to the equipped creature's Modifier."", ""effects"": [{""id"": ""040-E01"", ""trigger"": ""ON_EQUIP"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply temporary Modifier bonus"", ""target"": ""Equipped creature"", ""value"": ""Modifier +6"", ""duration"": {""text"": ""1 turn cycle"", ""type"": ""TURN_CYCLES"", ""amount"": 1, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Modifier +6"", ""statChanges"": [{""stat"": ""MODIFIER"", ""operation"": ""ADD"", ""value"": 6}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""1 turn cycle"", ""type"": ""TURN_CYCLES"", ""amount"": 1, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Temporary equip modifier. Expires after 1 full turn cycle. Turn cycle is one full round back to the same player."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,041,Ghost Form,Magic,Epic,,Single Use,TRUE,,,,Ghost Form,,,The equipped creature cannot be damaged for 2 turn cycles.,A SPOOKTACULAR CARD,,,STANDARD,EQUIP,1,APPLY_DAMAGE_IMMUNITY,FALSE,"{""cardNumber"": ""041"", ""cardName"": ""Ghost Form"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Epic"", ""creatureType"": null, ""magicType"": ""STANDARD"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Ghost Form"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""The equipped creature cannot be damaged for 2 turn cycles."", ""effects"": [{""id"": ""041-E01"", ""trigger"": ""ON_EQUIP"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_DAMAGE_IMMUNITY"", ""effectGroup"": ""Damage Immunity"", ""actionText"": ""Prevent all damage to equipped creature"", ""target"": ""Equipped creature"", ""value"": ""Cannot be damaged"", ""duration"": {""text"": ""2 turn cycles"", ""type"": ""TURN_CYCLES"", ""amount"": 2, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""reusableFunction"": ""applyDamageImmunity"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Cannot be damaged"", ""statChanges"": [], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""2 turn cycles"", ""type"": ""TURN_CYCLES"", ""amount"": 2, ""unit"": ""TURN_CYCLE"", ""starts"": ""EFFECT_ACTIVATION"", ""expires"": ""BEGINNING_OF_START_PLAYER_TURN""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Does not say this prevents non-damage effects. Turn cycle is one full round back to the same player."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,042,Corn Creeper,Creature,Uncommon,Undead,,FALSE,3,8,30,Haunted Corn,2,+2,Inflict 5x Atk damage during this card's first attack. This effect can only occur 1 time while this card is on the field.,Deep in the heart of the Ward farmlands exists a creature that feasts on farmers. It emerges from its slumber every 32 years to feed. It's now a scary story farmers tell their children.,,,,,1,APPLY_ATTACK_DAMAGE_MULTIPLIER,FALSE,"{""cardNumber"": ""042"", ""cardName"": ""Corn Creeper"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Uncommon"", ""creatureType"": ""Undead"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 3, ""SPD"": 8, ""HP"": 30, ""attackName"": ""Haunted Corn"", ""attackDice"": 2, ""modifier"": 2, ""baseHitDice"": 2}, ""rawEffectText"": ""Inflict 5x Atk damage during this card's first attack. This effect can only occur 1 time while this card is on the field."", ""effects"": [{""id"": ""042-E01"", ""trigger"": ""DURING_DAMAGE_CALC"", ""condition"": {""type"": ""TEXT"", ""text"": ""This card's first attack while on field""}, ""actionType"": ""APPLY_ATTACK_DAMAGE_MULTIPLIER"", ""effectGroup"": ""Damage Multiplier"", ""actionText"": ""Multiply Atk damage"", ""target"": ""Attack target"", ""value"": ""5x Atk damage"", ""duration"": {""text"": ""Current attack"", ""type"": ""CURRENT_ATTACK""}, ""reusableFunction"": ""applyConditionalDamageMultiplier"", ""params"": {""target"": ""Attack target"", ""valueText"": ""5x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card's first attack while on field""}, ""duration"": {""text"": ""Current attack"", ""type"": ""CURRENT_ATTACK""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 5, ""usesPerFieldInstance"": 1}, ""notes"": ""Once per field instance. Track hasUsedFirstAttackMultiplier on this card."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,043,Headless Knight,Creature,Uncommon,Undead,,FALSE,9,11,80,Haunted Swing,4,+1,,"Beheaded in battle during the Empire of Man, this knight was raised by the Undead King yet kept his hatred for the dead. He rides at night, slaying undead with a horrible, maniacal laugh.",,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""043"", ""cardName"": ""Headless Knight"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Uncommon"", ""creatureType"": ""Undead"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 9, ""SPD"": 11, ""HP"": 80, ""attackName"": ""Haunted Swing"", ""attackDice"": 4, ""modifier"": 1, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,044,Summoner,Creature,Epic,Humanoid,,FALSE,3,9,80,Portal Rip,1,+1,"During your turn, roll 2 dice. You may summon a creature from your hand with an AL less than or equal to the result of the dice roll as a Limited Summon. Send the summoned creature back to your hand at the end of your turn.","Offensive magic is not a summoner's forte. However, they excel at ripping open holes in space to unleash beings from other times and dimensions to fight for them.",,,,,2,SCHEDULE_RETURN_TO_HAND; SUMMON_LIMITED_CREATURE_FROM_HAND,FALSE,"{""cardNumber"": ""044"", ""cardName"": ""Summoner"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Epic"", ""creatureType"": ""Humanoid"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 3, ""SPD"": 9, ""HP"": 80, ""attackName"": ""Portal Rip"", ""attackDice"": 1, ""modifier"": 1, ""baseHitDice"": 2}, ""rawEffectText"": ""During your turn, roll 2 dice. You may summon a creature from your hand with an AL less than or equal to the result of the dice roll as a Limited Summon. Send the summoned creature back to your hand at the end of your turn."", ""effects"": [{""id"": ""044-E01"", ""trigger"": ""DURING_YOUR_TURN_ACTIVATED"", ""condition"": {""type"": ""ROLL_DICE"", ""dice"": 2, ""dieSize"": 6, ""text"": ""Roll 2 dice; summoned creature AL <= total""}, ""actionType"": ""SUMMON_LIMITED_CREATURE_FROM_HAND"", ""effectGroup"": ""Limited Summon"", ""actionText"": ""Summon from hand as Limited Summon"", ""target"": ""Creature from your hand"", ""value"": ""Limited Summon creature with AL <= 2D6 result"", ""duration"": {""text"": ""Until end of your turn"", ""type"": ""UNTIL_END_OF_YOUR_TURN""}, ""reusableFunction"": ""summonLimitedFromHand"", ""params"": {""target"": ""Creature from your hand"", ""valueText"": ""Limited Summon creature with AL <= 2D6 result"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DICE"", ""dice"": 2, ""dieSize"": 6, ""text"": ""Roll 2 dice; summoned creature AL <= total""}, ""duration"": {""text"": ""Until end of your turn"", ""type"": ""UNTIL_END_OF_YOUR_TURN""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""fromZone"": ""HAND"", ""maxCount"": 1, ""rollDice"": 2, ""compare"": ""AL_LE_ROLL_TOTAL""}, ""notes"": ""Return the summoned creature to hand at end of turn."", ""needsReview"": false}, {""id"": ""044-E02"", ""trigger"": ""AT_END_OF_YOUR_TURN"", ""condition"": {""type"": ""ON_SUMMON_CONDITION"", ""text"": ""Creature was summoned by Summoner""}, ""actionType"": ""SCHEDULE_RETURN_TO_HAND"", ""effectGroup"": ""Zone Movement"", ""actionText"": ""Return linked Limited Summon to hand"", ""target"": ""Summoned creature"", ""value"": ""Return to your hand"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""scheduleReturnToHand"", ""params"": {""target"": ""Summoned creature"", ""valueText"": ""Return to your hand"", ""statChanges"": [], ""condition"": {""type"": ""ON_SUMMON_CONDITION"", ""text"": ""Creature was summoned by Summoner""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}], ""notes"": """"}"
