card_number,card_name,effect_id,trigger,engine_action_type,reusable_function,target,duration_text,needs_manual_review,original_effect_text
029,Earth Eleotoid,029-E02,STATIC_WHILE_ON_FIELD,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyAttackDamageMultiplier,This creature,Immediate,TRUE,"This card inflicts 2x Atk damage to creatures in or near fire, but receives 2x Atk damage from creatures in or near water."
031,Orcs VS Apes,031-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,All creatures matching condition,While on field,FALSE,All creatures inflict 2x Atk damage to Humanoid-type creatures on the field.
031,Orcs VS Apes,031-E02,STATIC_WHILE_ON_FIELD,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyAttackDamageMultiplier,All creatures matching condition,While on field,FALSE,All creatures inflict 2x Atk damage to Humanoid-type creatures on the field.
033,Armored Assault,033-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,SPD: +4. AL: +2.
035,Dark Moon,035-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,Target creature,1 turn cycle,TRUE,For 1 turn cycle your opponents’ creatures can only roll 1 Hit Die.
037,Galactic Suit,037-E01,WHILE_EQUIPPED,MANUAL_FALLBACK,manualFallback,Opponent's primary creature,While equipped,TRUE,"If your opponent misses their Hit Roll against the equipped creature, they must roll their Atk Roll against their primary creature."
038,Army of the Orcs,038-E01,STATIC_WHILE_ON_FIELD,APPLY_STAT_MODIFIER,applyStatModifier,All creatures matching condition,While on field,FALSE,"All creatures with ""Orc"" in their name: SPD: +3. Atk: +6. Atk Dice Rolls: +1."
039,M.O.O.N. Sgt.,039-E01,ON_SUMMON,LIMITED_SUMMON,limitedSummon,Limited Summon card(s),Immediate,TRUE,"When summoned, you may summon 1 ""M.O.O.N."" named creature from your hand or deck as a Limited Summon. Return the summoned creature to your hand if this card leaves the field, changes control, or this effect is negated."
039,M.O.O.N. Sgt.,039-E02,ON_SUMMON,NEGATE_CARD_EFFECT,negateCardEffect,Limited Summon card(s),Immediate,TRUE,"When summoned, you may summon 1 ""M.O.O.N."" named creature from your hand or deck as a Limited Summon. Return the summoned creature to your hand if this card leaves the field, changes control, or this effect is negated."
039,M.O.O.N. Sgt.,039-E03,ON_SUMMON,MOVE_CARD,moveCard,Limited Summon card(s),Immediate,TRUE,"When summoned, you may summon 1 ""M.O.O.N."" named creature from your hand or deck as a Limited Summon. Return the summoned creature to your hand if this card leaves the field, changes control, or this effect is negated."
041,Orc Magic,041-E01,ON_PLAY,DESTROY_MAGIC,destroyMagic,Magic card(s) on the field,Immediate,FALSE,Destroy 1 magic card on the field.
042,Orc Mischief,042-E01,WHEN_OPPONENT_PLAYS_MAGIC,NEGATE_CARD_EFFECT,negateCardEffect,Magic card(s) on the field,Immediate,FALSE,Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery.
042,Orc Mischief,042-E02,WHEN_OPPONENT_PLAYS_MAGIC,SEND_TO_CEMETERY,sendToCemetery,Magic card(s) on the field,Immediate,FALSE,Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery.
043,The Villain,043-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,Opponent's primary creature,While on field,TRUE,"While this card is on the field, your opponent(s) must deal 10 damage to their primary creature to play a magic card. This creature receives 3x Atk damage from ""The Hero"" and ""The Heroine"" creatures."
043,The Villain,043-E02,STATIC_WHILE_ON_FIELD,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyAttackDamageMultiplier,Opponent's primary creature,While on field,TRUE,"While this card is on the field, your opponent(s) must deal 10 damage to their primary creature to play a magic card. This creature receives 3x Atk damage from ""The Hero"" and ""The Heroine"" creatures."
044,Wood Axe,044-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,Atk: +3.
045,Wooden Shield,045-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,AL: +3.
046,Warrior Sword,046-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,Atk: +2. Hit: +2.
048,Owl God,048-E01,SUMMON_REQUIREMENT,SUMMON_REQUIREMENT,validateSummonRequirement,This creature,Immediate,TRUE,"Summon Requirement: This creature requires 3 sacrifices to summon. If one of the creatures sacrificed has ""Owl"" in its name, only 2 sacrifices are required."
049,Gremlin,049-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,Your primary creature,Immediate,TRUE,"If your primary creature is removed from the field, you may play this card as your primary creature. This card returns to being a magic card if it leaves the field."
050,Adam Bomb,050-E01,ON_PLAY,DESTROY_ALL_MAGIC,destroyAllMagic,Equipped creature,While equipped,TRUE,"When this card is played, destroy all other magic cards on the field. Atk: +3. Hit: +3. AL: +3. SPD: +3."
050,Adam Bomb,050-E02,ON_PLAY,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,TRUE,"When this card is played, destroy all other magic cards on the field. Atk: +3. Hit: +3. AL: +3. SPD: +3."
051,Deercrow,051-E01,SUMMON_REQUIREMENT,SUMMON_REQUIREMENT,validateSummonRequirement,Magic card(s) on the field,Immediate,TRUE,"Summon Requirement: If summoned by sacrificing ""Scarecrow"" or ""Big Buck"", send 1 of them back to your deck, then shuffle. This card receives 2x effects from Common / Uncommon magic cards for Hit, Atk, Atk Dice Rolls, and SPD."
051,Deercrow,051-E02,SUMMON_REQUIREMENT,SHUFFLE_DECK,shuffleDeck,Magic card(s) on the field,Immediate,TRUE,"Summon Requirement: If summoned by sacrificing ""Scarecrow"" or ""Big Buck"", send 1 of them back to your deck, then shuffle. This card receives 2x effects from Common / Uncommon magic cards for Hit, Atk, Atk Dice Rolls, and SPD."
052,Bad Luck Bear,052-E01,WHILE_EQUIPPED,REROLL_DICE,rerollDice,Equipped creature,While equipped,TRUE,Equip this card to 1 of your opponent’s creatures. You may choose for them to re-roll either their Hit Dice Roll or Atk Dice Roll once per battle.
053,The Super Hero,053-E01,DURING_YOUR_TURN_ACTIVATED,DAMAGE,damage,This creature,This turn/battle,TRUE,"During your turn, roll 1 die. If the result is 5-6, this creature cannot be damaged this turn."
053,The Super Hero,053-E02,DURING_YOUR_TURN_ACTIVATED,ROLL_TABLE,resolveRollTable,This creature,This turn/battle,TRUE,"During your turn, roll 1 die. If the result is 5-6, this creature cannot be damaged this turn."
054,Vampire Mistress,054-E01,ON_PLAY,HEAL,heal,Target creature,Immediate,FALSE,Inflict 10 damage to a creature and heal a creature 10 HP.
054,Vampire Mistress,054-E02,ON_PLAY,DAMAGE,damage,Target creature,Immediate,FALSE,Inflict 10 damage to a creature and heal a creature 10 HP.
056,Soul Eater,056-E01,ON_PLAY,LIMITED_SUMMON,limitedSummon,Limited Summon card(s),Immediate,TRUE,You may use a Limited Summon on the field as a sacrifice for summoning. Send the Limited Summon to the cemetery of the player that currently controls it.
056,Soul Eater,056-E02,ON_PLAY,SEND_TO_CEMETERY,sendToCemetery,Limited Summon card(s),Immediate,TRUE,You may use a Limited Summon on the field as a sacrifice for summoning. Send the Limited Summon to the cemetery of the player that currently controls it.
057,Steam Angel,057-E01,DURING_YOUR_TURN_ACTIVATED,ROLL_TABLE,resolveRollTable,This creature,1 turn cycle,TRUE,"During your turn, roll 1 die. For 1 turn cycle, the following rarity cards cannot be played: 1-3 Epic/Promo. 4-6 Legendary/Mythic."
058,Steam Armor,058-E01,WHILE_EQUIPPED,UNAFFECTED_BY_MAGIC,applyImmunity,Equipped creature,2 turn cycles,TRUE,"Equip to a primary creature. For 2 turn cycles, the equipped creature is unaffected by creature and magic card effects. Does not include this card."
059,Lumber,059-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,This creature,Immediate,TRUE,Creatures in a forest that battle this card have their base Modifier reduced by 1/2.
062,Graft,062-E01,STATIC_WHILE_ON_FIELD,APPLY_STAT_MODIFIER,applyStatModifier,Magic card(s) on the field,While on field,TRUE,Players may equip creatures from their hand to their primary creature as Infinite equip magic cards. Add their base Atk Dice Rolls and Modifier to the equipped card.
063,Old Logging Road,063-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,Magic card(s) on the field,While on field,TRUE,Players must inflict 5 damage to their primary creature to play a magic card.
064,Frog Bard,064-E01,STATIC_WHILE_ON_FIELD,MOVE_CARD,moveCard,Your primary creature,Immediate,TRUE,"You may play this card from your hand as an Infinite equip magic card to your primary creature. The equipped creature gains this card’s Atk Dice Rolls and Modifier. If that creature is removed from the field, return this card to your hand."
065,Skol,065-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,AL: +4. Atk: +4.
066,Arzulian,066-E01,STATIC_WHILE_ON_FIELD,APPLY_STAT_MODIFIER,applyStatModifier,This creature,Immediate,TRUE,"For each point in this card’s SPD stat over 12, gain Modifier +1."
067,Gift of the Elves,067-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,1 turn cycle,FALSE,"For 1 turn cycle, the equipped creature gains Atk: +3. Hit: +3. SPD: +3. AL: +3."
070,Hydogon,070-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,This creature,Immediate,TRUE,This creature inflicts 2x Atk damage to any creature in or near fire.
070,Hydogon,070-E02,STATIC_WHILE_ON_FIELD,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyAttackDamageMultiplier,This creature,Immediate,TRUE,This creature inflicts 2x Atk damage to any creature in or near fire.
072,Winter Griffin,072-E01,STATIC_WHILE_ON_FIELD,REROLL_DICE,rerollDice,This creature,Immediate,TRUE,"Once per battle, this creature may re-roll 1 of its Atk Dice Rolls and 1 of its Hit Dice Rolls."
074,Ancient Book,074-E01,WHEN_OPPONENT_PLAYS_LIGHTNING,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,TRUE,"When your opponent plays a Lightning card, you may equip this card to a creature as an Infinite magic card. Atk: +15. Hit: +5. AL: +8. SPD: +5."
075,Orc Champion,075-E01,SUMMON_REQUIREMENT,SUMMON_REQUIREMENT,validateSummonRequirement,This creature,Immediate,TRUE,"Summon Requirement: If you have 2 creatures in your hand with ""Orc"" in their name, you may summon this creature without a sacrifice. This creature may be summoned as normal."
076,Thresher,076-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,This creature,Immediate,TRUE,This creature inflicts 3x Atk damage to Mechanical-type creatures. Mechanical-type creatures normally unaffected by creature or magic effects are now affected. This supersedes their own creature effect.
076,Thresher,076-E02,STATIC_WHILE_ON_FIELD,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyAttackDamageMultiplier,This creature,Immediate,TRUE,This creature inflicts 3x Atk damage to Mechanical-type creatures. Mechanical-type creatures normally unaffected by creature or magic effects are now affected. This supersedes their own creature effect.
076,Thresher,076-E03,STATIC_WHILE_ON_FIELD,UNAFFECTED_BY_MAGIC,applyImmunity,This creature,Immediate,TRUE,This creature inflicts 3x Atk damage to Mechanical-type creatures. Mechanical-type creatures normally unaffected by creature or magic effects are now affected. This supersedes their own creature effect.
077,Possession,077-E01,ON_PLAY,MANUAL_FALLBACK,manualFallback,Target creature,This turn/battle,TRUE,The target creature must battle itself this turn. All standard combat rules apply. Other creatures cannot battle this turn.
078,Lurking Slime,078-E01,DURING_YOUR_TURN_ACTIVATED,DAMAGE,damage,This creature,Immediate,TRUE,"During your turn, reduce all damage to this creature by 1/2."
079,Living Trap,079-E01,WHEN_OPPONENT_DECLARES_BATTLE,DAMAGE,damage,Opponent's primary creature,While on field,TRUE,"When your opponent declares battle, inflict 15 damage to their primary creature and send this card to the cemetery."
079,Living Trap,079-E02,WHEN_OPPONENT_DECLARES_BATTLE,SEND_TO_CEMETERY,sendToCemetery,Opponent's primary creature,While on field,TRUE,"When your opponent declares battle, inflict 15 damage to their primary creature and send this card to the cemetery."
080,Into Madness,080-E01,STATIC_WHILE_ON_FIELD,APPLY_STAT_MODIFIER,applyStatModifier,Target creature,While on field,FALSE,This card only affects Demon-type and Undead-type creatures. Atk Dice Rolls: +1. Hit Dice Rolls: +1.
082,Gnarled Hand,082-E01,WHILE_EQUIPPED,LIMITED_SUMMON,limitedSummon,Your primary creature,While equipped,TRUE,"Summon a creature with an AL less than your primary creature from your hand as a Limited Summon. If this card is destroyed, send the Limited Summoned creature to your cemetery."
082,Gnarled Hand,082-E02,WHILE_EQUIPPED,SEND_TO_CEMETERY,sendToCemetery,Your primary creature,While equipped,TRUE,"Summon a creature with an AL less than your primary creature from your hand as a Limited Summon. If this card is destroyed, send the Limited Summoned creature to your cemetery."
083,Gluttony,083-E01,ON_SUMMON,DESTROY_ALL_MAGIC,destroyAllMagic,Magic card(s) on the field,Immediate,TRUE,"When summoned, destroy all magic cards on the field. For each magic card destroyed, add +1 Modifier to this card. This card is unaffected by other Hit Modifier and Hit Dice Roll increases."
083,Gluttony,083-E02,ON_SUMMON,UNAFFECTED_BY_MAGIC,applyImmunity,Magic card(s) on the field,Immediate,TRUE,"When summoned, destroy all magic cards on the field. For each magic card destroyed, add +1 Modifier to this card. This card is unaffected by other Hit Modifier and Hit Dice Roll increases."
083,Gluttony,083-E03,ON_SUMMON,APPLY_STAT_MODIFIER,applyStatModifier,Magic card(s) on the field,Immediate,TRUE,"When summoned, destroy all magic cards on the field. For each magic card destroyed, add +1 Modifier to this card. This card is unaffected by other Hit Modifier and Hit Dice Roll increases."
084,Bramble Field,084-E01,BEGINNING_OF_YOUR_TURN,DAMAGE,damage,All creatures matching condition,While on field,TRUE,"At the beginning of your turn, inflict 5 damage to all creatures that do not have wings."
085,Ancient Scorpion,085-E01,ON_HIT,APPLY_DAMAGE_OVER_TIME,applyDamageOverTime,This creature,3 turn cycles,TRUE,"When this creature hits, the targeted creature receives 20 damage, once per turn cycle, for 3 turn cycles."
086,Frost Wyrms,086-E01,WHILE_EQUIPPED,CHANGE_CREATURE_TYPE,changeCreatureType,Equipped creature,While equipped,TRUE,The equipped creature’s SPD and base Modifier are changed to 0. The equipped creature cannot be used as a sacrifice.
087,Orc Hunter,087-E01,DURING_YOUR_TURN_ACTIVATED,LIMITED_SUMMON,limitedSummon,Limited Summon card(s),Immediate,TRUE,"During your turn, you may Limited Summon 1 Common / Uncommon Beast-type creature from your hand, max 1. Return that creature to your hand if this card leaves the field, changes control, or this effect is negated."
087,Orc Hunter,087-E02,DURING_YOUR_TURN_ACTIVATED,NEGATE_CARD_EFFECT,negateCardEffect,Limited Summon card(s),Immediate,TRUE,"During your turn, you may Limited Summon 1 Common / Uncommon Beast-type creature from your hand, max 1. Return that creature to your hand if this card leaves the field, changes control, or this effect is negated."
087,Orc Hunter,087-E03,DURING_YOUR_TURN_ACTIVATED,MOVE_CARD,moveCard,Limited Summon card(s),Immediate,TRUE,"During your turn, you may Limited Summon 1 Common / Uncommon Beast-type creature from your hand, max 1. Return that creature to your hand if this card leaves the field, changes control, or this effect is negated."
088,Death Omen,088-E01,BEGINNING_OF_EACH_PLAYER_TURN,DAMAGE,damage,Target creature,While on field,TRUE,The primary creature with the lowest HP receives 5 damage at the beginning of each player’s turn.
090,Polydactyly,090-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,SPD: +4. Hit: +2.
092,Pyre Lord,092-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,This creature,Immediate,TRUE,This creature receives 5 damage when it inflicts Atk damage.
094,Shuffling Bones,094-E01,ON_PLAY,SHUFFLE_DECK,shuffleDeck,Target / controller as specified by card text,Immediate,FALSE,Shuffle your deck.
095,Fog,095-E01,STATIC_WHILE_ON_FIELD,UNAFFECTED_BY_MAGIC,applyImmunity,Magic card(s) on the field,Immediate,TRUE,This card does not perform a Hit Dice Roll when in battle. It moves directly to its Atk Dice Roll. This card is not affected by your opponents’ magic cards.
096,Demon Blood,096-E01,WHILE_EQUIPPED,CHANGE_CREATURE_TYPE,changeCreatureType,Equipped creature,While equipped,FALSE,Atk: +3. The equipped creature is changed to Demon-type.
096,Demon Blood,096-E02,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,Atk: +3. The equipped creature is changed to Demon-type.
097,Magic Sword,097-E01,ON_EQUIP,HEAL,heal,Equipped creature,While equipped,TRUE,"On equip, heal this creature 10 HP. Atk: +2. Hit: +2."
097,Magic Sword,097-E02,ON_EQUIP,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,TRUE,"On equip, heal this creature 10 HP. Atk: +2. Hit: +2."
098,Mage Buff,098-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,AL: +3. SPD: +3. Atk Dice Rolls: +1. Hit Dice Rolls: +1.
099,Street Lights,099-E01,STATIC_WHILE_ON_FIELD,LIMITED_SUMMON,limitedSummon,Limited Summon card(s),While on field,TRUE,Send all Limited Summons on the field back to where they were originally summoned from. Limited Summons cannot be played while this card is on the field.
099,Street Lights,099-E02,STATIC_WHILE_ON_FIELD,PREVENT_CARD_PLAY,preventCardPlay,Limited Summon card(s),While on field,TRUE,Send all Limited Summons on the field back to where they were originally summoned from. Limited Summons cannot be played while this card is on the field.
100,Advantage,100-E01,ON_PLAY,REROLL_DICE,rerollDice,Target / controller as specified by card text,Immediate,TRUE,"On any of your Dice Rolls, play this card from your hand. You may re-roll and choose 1 of the two results."
102,Monkey Duck,102-E01,DURING_BATTLE,MANUAL_FALLBACK,manualFallback,This creature,This turn/battle,TRUE,"During battle, your opponent may ""Quack"" out loud 3 times. If they do, reduce this card’s base Atk Dice Rolls and Modifier by -1 for this battle."
103,Bio-Dino,103-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,This creature,Immediate,TRUE,Creatures used as sacrifice for this card have their base Atk Dice Rolls and base Modifier added to this creature.
104,Bait,104-E01,ON_PLAY,DISCARD_CARD,discardCard,Magic card(s) on the field,This turn/battle,TRUE,"Discard 1 magic card to the cemetery to play this card. For this turn, your creatures require 1 less sacrifice than normal."
105,Bound Fate,105-E01,ON_PLAY,DAMAGE,damage,Opponent's primary creature,This turn/battle,TRUE,During this turn all damage inflicted on your primary creature is also inflicted on your opponents’ primary creature.
