Card Number,Card Name,Generation,Edition,Card Kind,Rarity,Creature Type,Magic Type,Magic Subtype,Is Equip,Is Field,AL,HP,SPD,Attack Name,Attack Dice,Modifier,Raw Effect Text,Flavor Text,Image Source,Notes,Needs Review,Is Bonus Card
058,Steam Armor,3,1st Edition,MAGIC,Uncommon,,Standard,Equip,TRUE,FALSE,,,,,,,"Equip to a primary creature. For 2 turn cycles, the equipped creature is unaffected by creature and magic card effects. Does not include this card.",,user-uploaded image,,TRUE,FALSE
059,Lumber,3,1st Edition,CREATURE,Rare,Elemental,,,FALSE,FALSE,10,70,5,Red Pine Crash,2,8,Creatures in a forest that battle this card have their base Modifier reduced by 1/2.,,user-uploaded image,,TRUE,FALSE
060,Fish Boy,3,1st Edition,CREATURE,Common,Beast,,,FALSE,FALSE,4,20,3,Trident Impale,1,3,,,user-uploaded image,,FALSE,FALSE
061,Moose,3,1st Edition,CREATURE,Common,Beast,,,FALSE,FALSE,6,50,4,Charge,2,3,,,user-uploaded image,,FALSE,FALSE
062,Graft,3,1st Edition,MAGIC,Legendary,,Infinite,Field,FALSE,TRUE,,,,,,,Players may equip creatures from their hand to their primary creature as Infinite equip magic cards. Add their base Atk Dice Rolls and Modifier to the equipped card.,,user-uploaded image,Allows creatures in hand to become Infinite Equip cards with stat transfer.,TRUE,FALSE
063,Old Logging Road,3,1st Edition,MAGIC,Uncommon,,Infinite,Field,FALSE,TRUE,,,,,,,Players must inflict 5 damage to their primary creature to play a magic card.,,user-uploaded image,,TRUE,FALSE
064,Frog Bard,3,1st Edition,CREATURE,Common,Humanoid,,,FALSE,FALSE,1,10,1,Folk Music,1,1,"You may play this card from your hand as an Infinite equip magic card to your primary creature. The equipped creature gains this card’s Atk Dice Rolls and Modifier. If that creature is removed from the field, return this card to your hand.",,user-uploaded image,Creature can be played from hand as Infinite Equip magic and return to hand.,TRUE,FALSE
065,Skol,3,1st Edition,MAGIC,Rare,,Infinite,Equip,TRUE,FALSE,,,,,,,AL: +4. Atk: +4.,,user-uploaded image,,FALSE,FALSE
066,Arzulian,3,1st Edition,CREATURE,Common,Cosmic,,,FALSE,FALSE,9,70,12,Discharge,1,2,"For each point in this card’s SPD stat over 12, gain Modifier +1.",,user-uploaded image,Dynamic Modifier depends on effective SPD over 12.,TRUE,FALSE
067,Gift of the Elves,3,1st Edition,MAGIC,Common,,Standard,Equip,TRUE,FALSE,,,,,,,"For 1 turn cycle, the equipped creature gains Atk: +3. Hit: +3. SPD: +3. AL: +3.",,user-uploaded image,,FALSE,FALSE
068,Stego,3,1st Edition,CREATURE,Common,Dinosaur,,,FALSE,FALSE,6,50,3,Spiked Tail,1,5,,,user-uploaded image,,FALSE,FALSE
069,Mountain Lion,3,1st Edition,CREATURE,Rare,Beast,,,FALSE,FALSE,4,50,10,Unknown,3,4,,,user-provided table screenshot,Attack name was unavailable from the table screenshot; card effect creature flag = N.; Attack name is unknown from source table.,TRUE,FALSE
070,Hydogon,3,1st Edition,CREATURE,Rare,Dragon,,,FALSE,FALSE,10,90,6,Hydro Jet,2,5,This creature inflicts 2x Atk damage to any creature in or near fire.,,user-uploaded image,,TRUE,FALSE
071,Boulderox,3,1st Edition,CREATURE,Uncommon,Elemental,,,FALSE,FALSE,9,80,2,Seismic Crush,2,4,,,user-uploaded image,,FALSE,FALSE
072,Winter Griffin,3,1st Edition,CREATURE,Rare,Beast,,,FALSE,FALSE,8,80,8,Frost Bite,2,5,"Once per battle, this creature may re-roll 1 of its Atk Dice Rolls and 1 of its Hit Dice Rolls.",,user-uploaded image,,TRUE,FALSE
073,Big Mouth Bass,3,1st Edition,CREATURE,Common,Beast,,,FALSE,FALSE,1,20,5,Gulp,1,1,,,user-uploaded image,,FALSE,FALSE
074,Ancient Book,3,1st Edition,MAGIC,Legendary,,Lightning,Equip,TRUE,FALSE,,,,,,,"When your opponent plays a Lightning card, you may equip this card to a creature as an Infinite magic card. Atk: +15. Hit: +5. AL: +8. SPD: +5.",,user-uploaded image,Lightning that becomes an Infinite Equip after trigger resolution.,TRUE,FALSE
075,Orc Champion,3,1st Edition,CREATURE,Legendary,Humanoid,,,FALSE,FALSE,12,70,5,Pulverize,1,12,"Summon Requirement: If you have 2 creatures in your hand with ""Orc"" in their name, you may summon this creature without a sacrifice. This creature may be summoned as normal.",,user-uploaded image,,TRUE,FALSE
076,Thresher,3,1st Edition,CREATURE,Uncommon,Elemental,,,FALSE,FALSE,6,60,4,Chomp,2,3,This creature inflicts 3x Atk damage to Mechanical-type creatures. Mechanical-type creatures normally unaffected by creature or magic effects are now affected. This supersedes their own creature effect.,,user-uploaded image,Overrides immunity of Mechanical creatures otherwise unaffected by effects.,TRUE,FALSE
077,Possession,3,1st Edition,MAGIC,Rare,,Standard,None,FALSE,FALSE,,,,,,,The target creature must battle itself this turn. All standard combat rules apply. Other creatures cannot battle this turn.,,user-uploaded image,Self-battle requires special battle target handling.,TRUE,FALSE
078,Lurking Slime,3,1st Edition,CREATURE,Rare,Elemental,,,FALSE,FALSE,6,60,1,Lurching Bite,3,1,"During your turn, reduce all damage to this creature by 1/2.",,user-uploaded image,,TRUE,FALSE
079,Living Trap,3,1st Edition,MAGIC,Epic,,Infinite,Field,FALSE,TRUE,,,,,,,"When your opponent declares battle, inflict 15 damage to their primary creature and send this card to the cemetery.",,user-uploaded image,Field self-removes after triggered damage.,TRUE,FALSE
080,Into Madness,3,1st Edition,MAGIC,Uncommon,,Infinite,Field,FALSE,TRUE,,,,,,,This card only affects Demon-type and Undead-type creatures. Atk Dice Rolls: +1. Hit Dice Rolls: +1.,,user-uploaded image,,FALSE,FALSE
081,Hive Queen,3,1st Edition,CREATURE,Legendary,Bug,,,FALSE,FALSE,12,130,12,Dominate,5,7,,,user-uploaded image,,FALSE,FALSE
082,Gnarled Hand,3,1st Edition,MAGIC,Epic,,Infinite,Equip,TRUE,FALSE,,,,,,,"Summon a creature with an AL less than your primary creature from your hand as a Limited Summon. If this card is destroyed, send the Limited Summoned creature to your cemetery.",,user-uploaded image,,TRUE,FALSE
083,Gluttony,3,1st Edition,CREATURE,Epic,Demon,,,FALSE,FALSE,7,100,5,Devour,7,0,"When summoned, destroy all magic cards on the field. For each magic card destroyed, add +1 Modifier to this card. This card is unaffected by other Hit Modifier and Hit Dice Roll increases.",,user-uploaded image,On-summon destroy-all-magic plus dynamic modifier count and future buff immunity.,TRUE,FALSE
084,Bramble Field,3,1st Edition,MAGIC,Common,,Infinite,Field,FALSE,TRUE,,,,,,,"At the beginning of your turn, inflict 5 damage to all creatures that do not have wings.",,user-uploaded image,Requires wings trait tagging.,TRUE,FALSE
085,Ancient Scorpion,3,1st Edition,CREATURE,Legendary,Bug,,,FALSE,FALSE,10,60,10,Vice Grip,1,2,"When this creature hits, the targeted creature receives 20 damage, once per turn cycle, for 3 turn cycles.",,user-uploaded image,,TRUE,FALSE
086,Frost Wyrms,3,1st Edition,MAGIC,Legendary,,Infinite,Equip,TRUE,FALSE,,,,,,,The equipped creature’s SPD and base Modifier are changed to 0. The equipped creature cannot be used as a sacrifice.,,user-uploaded image,,TRUE,FALSE
087,Orc Hunter,3,1st Edition,CREATURE,Common,Humanoid,,,FALSE,FALSE,3,60,9,Steadfast Shot,1,3,"During your turn, you may Limited Summon 1 Common / Uncommon Beast-type creature from your hand, max 1. Return that creature to your hand if this card leaves the field, changes control, or this effect is negated.",,user-uploaded image,Limited Summon with rarity/type filter and source-linked return cleanup.,TRUE,FALSE
088,Death Omen,3,1st Edition,MAGIC,Epic,,Infinite,Field,FALSE,TRUE,,,,,,,The primary creature with the lowest HP receives 5 damage at the beginning of each player’s turn.,,user-uploaded image,,TRUE,FALSE
089,Orc Warrior,3,1st Edition,CREATURE,Uncommon,Humanoid,,,FALSE,FALSE,6,50,2,Brutal Slash,3,3,,,user-uploaded image,,FALSE,FALSE
090,Polydactyly,3,1st Edition,MAGIC,Uncommon,,Infinite,Equip,TRUE,FALSE,,,,,,,SPD: +4. Hit: +2.,,user-uploaded image,,FALSE,FALSE
091,Octo-Orc,3,1st Edition,CREATURE,Epic,Humanoid,,,FALSE,FALSE,8,10,11,Octo-Gone,8,8,,,user-uploaded image,,FALSE,FALSE
092,Pyre Lord,3,1st Edition,CREATURE,Legendary,Humanoid,,,FALSE,FALSE,8,60,7,Incinerate,6,4,This creature receives 5 damage when it inflicts Atk damage.,,user-uploaded image,,TRUE,FALSE
093,Forest Guardian,3,1st Edition,CREATURE,Rare,Elemental,,,FALSE,FALSE,7,100,3,Oaken Crush,6,0,,,user-uploaded image,,FALSE,FALSE
094,Shuffling Bones,3,1st Edition,MAGIC,Common,,Standard,None,FALSE,FALSE,,,,,,,Shuffle your deck.,,user-uploaded image,,FALSE,FALSE
095,Fog,3,1st Edition,CREATURE,Rare,Elemental,,,FALSE,FALSE,2,50,9,Vapor Strike,2,2,This card does not perform a Hit Dice Roll when in battle. It moves directly to its Atk Dice Roll. This card is not affected by your opponents’ magic cards.,,user-uploaded image,Skips Hit Roll and has opponent-magic immunity.,TRUE,FALSE
096,Demon Blood,3,1st Edition,MAGIC,Uncommon,,Infinite,Equip,TRUE,FALSE,,,,,,,Atk: +3. The equipped creature is changed to Demon-type.,,user-uploaded image,,FALSE,FALSE
097,Magic Sword,3,1st Edition,MAGIC,Uncommon,,Infinite,Equip,TRUE,FALSE,,,,,,,"On equip, heal this creature 10 HP. Atk: +2. Hit: +2.",,user-uploaded image,,TRUE,FALSE
098,Mage Buff,3,1st Edition,MAGIC,Epic,,Infinite,Equip,TRUE,FALSE,,,,,,,AL: +3. SPD: +3. Atk Dice Rolls: +1. Hit Dice Rolls: +1.,,user-uploaded image,,FALSE,FALSE
099,Street Lights,3,1st Edition,MAGIC,Rare,,Infinite,Field,FALSE,TRUE,,,,,,,Send all Limited Summons on the field back to where they were originally summoned from. Limited Summons cannot be played while this card is on the field.,,user-uploaded image,Needs original-zone tracking and Limited Summon prevention while active.,TRUE,FALSE
100,Advantage,3,1st Edition,MAGIC,Common,,Lightning,None,FALSE,FALSE,,,,,,,"On any of your Dice Rolls, play this card from your hand. You may re-roll and choose 1 of the two results.",,user-uploaded image,,TRUE,FALSE
101,Bestial Champion,3,1st Edition,CREATURE,Uncommon,Beast,,,FALSE,FALSE,11,50,6,Moonlit Strike,3,2,,,user-uploaded image,,FALSE,FALSE
102,Monkey Duck,3,1st Edition,CREATURE,Epic,Beast,,,FALSE,FALSE,8,90,4,Quack Quack,5,5,"During battle, your opponent may ""Quack"" out loud 3 times. If they do, reduce this card’s base Atk Dice Rolls and Modifier by -1 for this battle.",,user-uploaded image,,TRUE,FALSE
103,Bio-Dino,3,1st Edition,CREATURE,Legendary,Elemental,,,FALSE,FALSE,12,100,4,Absorb,1,1,Creatures used as sacrifice for this card have their base Atk Dice Rolls and base Modifier added to this creature.,,user-uploaded image,Sacrifice-source stats are captured and added to this creature.,TRUE,FALSE
104,Bait,3,1st Edition,MAGIC,Legendary,,Standard,None,FALSE,FALSE,,,,,,,"Discard 1 magic card to the cemetery to play this card. For this turn, your creatures require 1 less sacrifice than normal.",,user-uploaded image,,TRUE,FALSE
105,Bound Fate,3,1st Edition,MAGIC,Epic,,Standard,None,FALSE,FALSE,,,,,,,During this turn all damage inflicted on your primary creature is also inflicted on your opponents’ primary creature.,,user-uploaded image,,TRUE,FALSE
106,Last Hope Hero,3,1st Edition,MAGIC,Legendary,,Lightning,None,FALSE,FALSE,,,,,,,Play this from your hand when your primary creature is killed. Roll its base Atk Dice Rolls and Modifier against the creature that killed it. This attack is treated as a Critical Hit.,,user-uploaded image,"Reactive after primary death, using killed creature base attack as critical hit.",TRUE,FALSE
107,Missile-Toad,3,1st Edition,CREATURE,Rare,Beast,,,FALSE,FALSE,2,30,5,AIM-9,1,1,"If this creature hits, send all Limited Summons on the field to their original owner’s cemetery.",,user-uploaded image,,TRUE,FALSE
108,Lava Golem,3,1st Edition,CREATURE,Common,Elemental,,,FALSE,FALSE,11,100,3,Molten Grasp,2,2,"If your opponent does not battle on their turn, inflict 5 damage to their primary creature.",,user-uploaded image,,TRUE,FALSE
109,Negative,3,1st Edition,MAGIC,Common,,Standard,None,FALSE,FALSE,,,,,,,Discard 1 magic card from your hand and destroy 1 magic card on the field.,,user-uploaded image,,FALSE,FALSE
110,Chain Lightning,3,1st Edition,MAGIC,Rare,,Standard,None,FALSE,FALSE,,,,,,,"Inflict 5 damage to your primary creature. Then, destroy all magic cards on the field. For each magic card destroyed, inflict 5 damage to your opponent’s primary creature.",,user-uploaded image,,TRUE,FALSE
111,Final Form,3,1st Edition,MAGIC,Legendary,,Infinite,Equip,TRUE,FALSE,,,,,,,"Equip to a creature below 1/2 its base HP. The creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Mutating Flesh, 6 dice, +6.",,user-uploaded image,Conditional equip based on below half HP; replaces attack profile and suppresses creature effect.,TRUE,FALSE
112,Bulwark,3,1st Edition,MAGIC,Uncommon,,Standard,Equip,TRUE,FALSE,,,,,,,Increase the equipped creature’s AL to 12 for 3 turn cycles.,,user-uploaded image,,TRUE,FALSE
113,Sasquatch,3,1st Edition,MAGIC,Epic,,Lightning,None,FALSE,FALSE,,,,,,,Play this card from your hand when your opponent plays a magic card. Negate the card effect and send it to their cemetery. Your opponent then cannot use Lightning cards for 1 turn cycle.,,user-uploaded image,,TRUE,FALSE
114,Carus Demon,3,1st Edition,CREATURE,Common,Demon,,,FALSE,FALSE,4,40,5,Paralysis,2,1,"When summoned, all creatures on your opponent’s side of the field are put to sleep and cannot battle for 2 turn cycles. Any damage to the sleeping creatures ends this effect and destroys 1 magic card on the field of your choice.",,user-uploaded image,,TRUE,FALSE
